layer,total,remaining,pruned,structurally_prunable,median_log_alpha
stem_conv,64,64,0,False,-3.0
stage1.0.conv1,64,19,45,True,2.0182044506073
stage1.0.conv2,64,64,0,False,-3.0
stage1.1.conv1,64,27,37,True,1.9996836185455322
stage1.1.conv2,64,64,0,False,-3.0
stage2.0.conv1,128,6,122,True,2.0328996181488037
stage2.0.conv2,128,128,0,False,-3.0
stage2.1.conv1,128,126,2,True,1.9189692735671997
stage2.1.conv2,128,128,0,False,-3.0
stage3.0.conv1,256,115,141,True,1.9952681064605713
stage3.0.conv2,256,256,0,False,-3.0
stage3.1.conv1,256,241,15,True,1.9450384378433228
stage3.1.conv2,256,256,0,False,-3.0
stage4.0.conv1,512,1,511,True,2.109614133834839
stage4.0.conv2,512,512,0,False,-3.0
stage4.1.conv1,512,1,511,True,2.136291027069092
stage4.1.conv2,512,512,0,False,-3.0
